"","method","variate","design","number","RMSE","time_mod","time_alg","time_overall"
"1","exhaustive_test","AGB","clusterGapped",1,33.2615185567516,NA,NA,NA
"2","exhaustive_test","AGB","clusterGapped",2,31.7826083691846,NA,NA,NA
"3","exhaustive_test","AGB","clusterGapped",3,34.7147234999036,NA,NA,NA
"4","exhaustive_test","AGB","clusterGapped",4,35.14418183991,NA,NA,NA
"5","exhaustive_test","AGB","clusterGapped",5,35.701777143031,NA,NA,NA
"6","exhaustive_test","AGB","clusterGapped",6,31.5811501144948,NA,NA,NA
"7","exhaustive_test","AGB","clusterGapped",7,36.54720492865,NA,NA,NA
"8","exhaustive_test","AGB","clusterGapped",8,34.8900472848458,NA,NA,NA
"9","exhaustive_test","AGB","clusterGapped",9,36.853354248258,NA,NA,NA
"10","exhaustive_test","AGB","clusterGapped",10,34.5873631787105,NA,NA,NA
"11","exhaustive_test","AGB","clusterGapped",11,33.5848264287541,NA,NA,NA
"12","exhaustive_test","AGB","clusterGapped",12,36.3912067800269,NA,NA,NA
"13","exhaustive_test","AGB","clusterGapped",13,33.932566350297,NA,NA,NA
"14","exhaustive_test","AGB","clusterGapped",14,34.2976953213033,NA,NA,NA
"15","exhaustive_test","AGB","clusterGapped",15,33.5990417160046,NA,NA,NA
"16","exhaustive_test","AGB","clusterGapped",16,37.1639770608625,NA,NA,NA
"17","exhaustive_test","AGB","clusterGapped",17,33.1427167378373,NA,NA,NA
"18","exhaustive_test","AGB","clusterGapped",18,32.6382189398036,NA,NA,NA
"19","exhaustive_test","AGB","clusterGapped",19,33.6364165407753,NA,NA,NA
"20","exhaustive_test","AGB","clusterGapped",20,32.9375743364923,NA,NA,NA
"21","exhaustive_test","AGB","clusterGapped",21,33.8665823881522,NA,NA,NA
"22","exhaustive_test","AGB","clusterGapped",22,33.7059701277375,NA,NA,NA
"23","exhaustive_test","AGB","clusterGapped",23,35.1897017856996,NA,NA,NA
"24","exhaustive_test","AGB","clusterGapped",24,32.2690471034317,NA,NA,NA
"25","exhaustive_test","AGB","clusterGapped",25,34.1218550574072,NA,NA,NA
"26","exhaustive_test","AGB","clusterGapped",26,33.4934919894491,NA,NA,NA
"27","exhaustive_test","AGB","clusterGapped",27,36.2780624135482,NA,NA,NA
"28","exhaustive_test","AGB","clusterGapped",28,35.8129757841667,NA,NA,NA
"29","exhaustive_test","AGB","clusterGapped",29,36.4079753417313,NA,NA,NA
"30","exhaustive_test","AGB","clusterGapped",30,33.7713582222583,NA,NA,NA
"31","exhaustive_test","AGB","clusterGapped",31,32.9462643459471,NA,NA,NA
"32","exhaustive_test","AGB","clusterGapped",32,31.7503772623634,NA,NA,NA
"33","exhaustive_test","AGB","clusterGapped",33,33.5461877718048,NA,NA,NA
"34","exhaustive_test","AGB","clusterGapped",34,33.617648813088,NA,NA,NA
"35","exhaustive_test","AGB","clusterGapped",35,33.9817328876038,NA,NA,NA
"36","exhaustive_test","AGB","clusterGapped",36,34.7396672750048,NA,NA,NA
"37","exhaustive_test","AGB","clusterGapped",37,33.4749345693442,NA,NA,NA
"38","exhaustive_test","AGB","clusterGapped",38,34.1630841966304,NA,NA,NA
"39","exhaustive_test","AGB","clusterGapped",39,34.1519303218019,NA,NA,NA
"40","exhaustive_test","AGB","clusterGapped",40,36.6589507664515,NA,NA,NA
"41","exhaustive_test","AGB","clusterGapped",41,33.2250267821959,NA,NA,NA
"42","exhaustive_test","AGB","clusterGapped",42,32.6928259817195,NA,NA,NA
"43","exhaustive_test","AGB","clusterGapped",43,35.3542794673157,NA,NA,NA
"44","exhaustive_test","AGB","clusterGapped",44,37.5065516835721,NA,NA,NA
"45","exhaustive_test","AGB","clusterGapped",45,32.6964220603162,NA,NA,NA
"46","exhaustive_test","AGB","clusterGapped",46,33.9687071375101,NA,NA,NA
"47","exhaustive_test","AGB","clusterGapped",47,31.8364829984661,NA,NA,NA
"48","exhaustive_test","AGB","clusterGapped",48,33.758334525027,NA,NA,NA
"49","exhaustive_test","AGB","clusterGapped",49,31.4213454652511,NA,NA,NA
"50","exhaustive_test","AGB","clusterGapped",50,32.3403913824076,NA,NA,NA
"51","exhaustive_test","AGB","clusterMedium",1,32.3516604552741,NA,NA,NA
"52","exhaustive_test","AGB","clusterMedium",2,32.4222600047487,NA,NA,NA
"53","exhaustive_test","AGB","clusterMedium",3,31.2410391596441,NA,NA,NA
"54","exhaustive_test","AGB","clusterMedium",4,32.4469694389716,NA,NA,NA
"55","exhaustive_test","AGB","clusterMedium",5,30.8696639661486,NA,NA,NA
"56","exhaustive_test","AGB","clusterMedium",6,30.9829048009142,NA,NA,NA
"57","exhaustive_test","AGB","clusterMedium",7,32.7220872404741,NA,NA,NA
"58","exhaustive_test","AGB","clusterMedium",8,31.5350111988605,NA,NA,NA
"59","exhaustive_test","AGB","clusterMedium",9,31.716136057597,NA,NA,NA
"60","exhaustive_test","AGB","clusterMedium",10,31.0998712912563,NA,NA,NA
"61","exhaustive_test","AGB","clusterMedium",11,32.1631928467323,NA,NA,NA
"62","exhaustive_test","AGB","clusterMedium",12,31.6713462429684,NA,NA,NA
"63","exhaustive_test","AGB","clusterMedium",13,31.8169950841946,NA,NA,NA
"64","exhaustive_test","AGB","clusterMedium",14,31.8006559565772,NA,NA,NA
"65","exhaustive_test","AGB","clusterMedium",15,31.9807242363979,NA,NA,NA
"66","exhaustive_test","AGB","clusterMedium",16,32.341295776253,NA,NA,NA
"67","exhaustive_test","AGB","clusterMedium",17,32.9701625732688,NA,NA,NA
"68","exhaustive_test","AGB","clusterMedium",18,33.0296669679027,NA,NA,NA
"69","exhaustive_test","AGB","clusterMedium",19,31.9244053150576,NA,NA,NA
"70","exhaustive_test","AGB","clusterMedium",20,31.6887181700106,NA,NA,NA
"71","exhaustive_test","AGB","clusterMedium",21,32.0691049163636,NA,NA,NA
"72","exhaustive_test","AGB","clusterMedium",22,32.6583791599877,NA,NA,NA
"73","exhaustive_test","AGB","clusterMedium",23,32.6342309835683,NA,NA,NA
"74","exhaustive_test","AGB","clusterMedium",24,32.4364487699129,NA,NA,NA
"75","exhaustive_test","AGB","clusterMedium",25,31.724642659122,NA,NA,NA
"76","exhaustive_test","AGB","clusterMedium",26,31.1249844641707,NA,NA,NA
"77","exhaustive_test","AGB","clusterMedium",27,32.156054074338,NA,NA,NA
"78","exhaustive_test","AGB","clusterMedium",28,31.5345949104654,NA,NA,NA
"79","exhaustive_test","AGB","clusterMedium",29,31.4430379833926,NA,NA,NA
"80","exhaustive_test","AGB","clusterMedium",30,32.3432701650543,NA,NA,NA
"81","exhaustive_test","AGB","clusterMedium",31,33.5468208514823,NA,NA,NA
"82","exhaustive_test","AGB","clusterMedium",32,31.366088283635,NA,NA,NA
"83","exhaustive_test","AGB","clusterMedium",33,31.3876902757906,NA,NA,NA
"84","exhaustive_test","AGB","clusterMedium",34,33.0912747265625,NA,NA,NA
"85","exhaustive_test","AGB","clusterMedium",35,31.418407182309,NA,NA,NA
"86","exhaustive_test","AGB","clusterMedium",36,31.4506523222385,NA,NA,NA
"87","exhaustive_test","AGB","clusterMedium",37,31.2187141464916,NA,NA,NA
"88","exhaustive_test","AGB","clusterMedium",38,30.9412087311914,NA,NA,NA
"89","exhaustive_test","AGB","clusterMedium",39,31.8878277434473,NA,NA,NA
"90","exhaustive_test","AGB","clusterMedium",40,31.051450786447,NA,NA,NA
"91","exhaustive_test","AGB","clusterMedium",41,31.5109395108242,NA,NA,NA
"92","exhaustive_test","AGB","clusterMedium",42,31.2496626060207,NA,NA,NA
"93","exhaustive_test","AGB","clusterMedium",43,30.6725406251413,NA,NA,NA
"94","exhaustive_test","AGB","clusterMedium",44,33.0894726589666,NA,NA,NA
"95","exhaustive_test","AGB","clusterMedium",45,31.2985510413504,NA,NA,NA
"96","exhaustive_test","AGB","clusterMedium",46,32.1411804645547,NA,NA,NA
"97","exhaustive_test","AGB","clusterMedium",47,32.100016288158,NA,NA,NA
"98","exhaustive_test","AGB","clusterMedium",48,31.1634235926178,NA,NA,NA
"99","exhaustive_test","AGB","clusterMedium",49,31.2840362308221,NA,NA,NA
"100","exhaustive_test","AGB","clusterMedium",50,32.1442074360366,NA,NA,NA
"101","exhaustive_test","AGB","clusterStrong",1,35.7963162367161,NA,NA,NA
"102","exhaustive_test","AGB","clusterStrong",2,32.2540543244309,NA,NA,NA
"103","exhaustive_test","AGB","clusterStrong",3,34.9177417445622,NA,NA,NA
"104","exhaustive_test","AGB","clusterStrong",4,33.8993900615924,NA,NA,NA
"105","exhaustive_test","AGB","clusterStrong",5,35.1522154437012,NA,NA,NA
"106","exhaustive_test","AGB","clusterStrong",6,32.8310149428162,NA,NA,NA
"107","exhaustive_test","AGB","clusterStrong",7,33.566192108041,NA,NA,NA
"108","exhaustive_test","AGB","clusterStrong",8,33.8088809274384,NA,NA,NA
"109","exhaustive_test","AGB","clusterStrong",9,34.1220008542444,NA,NA,NA
"110","exhaustive_test","AGB","clusterStrong",10,35.0251225899636,NA,NA,NA
"111","exhaustive_test","AGB","clusterStrong",11,33.9566823847832,NA,NA,NA
"112","exhaustive_test","AGB","clusterStrong",12,35.3100317022488,NA,NA,NA
"113","exhaustive_test","AGB","clusterStrong",13,31.7408216622982,NA,NA,NA
"114","exhaustive_test","AGB","clusterStrong",14,33.7937919577531,NA,NA,NA
"115","exhaustive_test","AGB","clusterStrong",15,35.9883446807199,NA,NA,NA
"116","exhaustive_test","AGB","clusterStrong",16,32.9172935998088,NA,NA,NA
"117","exhaustive_test","AGB","clusterStrong",17,36.3142537123319,NA,NA,NA
"118","exhaustive_test","AGB","clusterStrong",18,33.560514562111,NA,NA,NA
"119","exhaustive_test","AGB","clusterStrong",19,32.7512494001567,NA,NA,NA
"120","exhaustive_test","AGB","clusterStrong",20,38.3994054633256,NA,NA,NA
"121","exhaustive_test","AGB","clusterStrong",21,34.7686821036219,NA,NA,NA
"122","exhaustive_test","AGB","clusterStrong",22,34.0555566566883,NA,NA,NA
