"","method","variate","design","number","RMSE","MEC"
"1","exhaustive_old","AGB","clusterGapped",1,30.9881082593734,0.822148678697652
"2","exhaustive_old","AGB","clusterGapped",2,29.7401118813352,0.836185567018051
"3","exhaustive_old","AGB","clusterGapped",3,32.1409331731233,0.808669621527288
"4","exhaustive_old","AGB","clusterGapped",4,32.7782496732889,0.801006685955999
"5","exhaustive_old","AGB","clusterGapped",5,33.2413381604798,0.795344244045031
"6","exhaustive_old","AGB","clusterGapped",6,29.7109733063239,0.836506411860633
"7","exhaustive_old","AGB","clusterGapped",7,33.6572080197499,0.790191470074751
"8","exhaustive_old","AGB","clusterGapped",8,32.512426830781,0.804221163773932
"9","exhaustive_old","AGB","clusterGapped",9,33.7036094027514,0.789612567820667
"10","exhaustive_old","AGB","clusterGapped",10,32.1645439454773,0.808388415175778
"11","exhaustive_old","AGB","clusterGapped",11,31.4280519129811,0.817062857687718
"12","exhaustive_old","AGB","clusterGapped",12,34.2878299535151,0.78225561396791
"13","exhaustive_old","AGB","clusterGapped",13,31.7567495894225,0.813216264780334
"14","exhaustive_old","AGB","clusterGapped",14,31.8328851241443,0.812319578139741
"15","exhaustive_old","AGB","clusterGapped",15,31.1592228172094,0.820179086075011
"16","exhaustive_old","AGB","clusterGapped",16,35.0624275744615,0.772306344263491
"17","exhaustive_old","AGB","clusterGapped",17,31.0294280230943,0.821674066051651
"18","exhaustive_old","AGB","clusterGapped",18,30.4014226344245,0.828819306802121
"19","exhaustive_old","AGB","clusterGapped",19,30.9338862152892,0.822770531776636
"20","exhaustive_old","AGB","clusterGapped",20,31.0041458460433,0.821964540702062
"21","exhaustive_old","AGB","clusterGapped",21,31.780576389583,0.812935875360182
"22","exhaustive_old","AGB","clusterGapped",22,31.0415511510947,0.821534695745505
"23","exhaustive_old","AGB","clusterGapped",23,33.3514533331744,0.793986114016761
"24","exhaustive_old","AGB","clusterGapped",24,30.1008834948451,0.832187057496605
"25","exhaustive_old","AGB","clusterGapped",25,32.121332306715,0.808902912679243
"26","exhaustive_old","AGB","clusterGapped",26,31.0975733774377,0.820889944097296
"27","exhaustive_old","AGB","clusterGapped",27,33.451102243179,0.792753200549234
"28","exhaustive_old","AGB","clusterGapped",28,33.0173109657235,0.798093469047912
"29","exhaustive_old","AGB","clusterGapped",29,33.8597287056356,0.787658972218384
"30","exhaustive_old","AGB","clusterGapped",30,31.2587801336017,0.819028153140337
"31","exhaustive_old","AGB","clusterGapped",31,30.2674616794094,0.830324565725261
"32","exhaustive_old","AGB","clusterGapped",32,29.6346655519112,0.837345146249113
"33","exhaustive_old","AGB","clusterGapped",33,30.9877373624067,0.822152936080535
"34","exhaustive_old","AGB","clusterGapped",34,30.8062136987939,0.824230460702962
"35","exhaustive_old","AGB","clusterGapped",35,31.8769540560141,0.811799574959046
"36","exhaustive_old","AGB","clusterGapped",36,32.093257804936,0.809236809850318
"37","exhaustive_old","AGB","clusterGapped",37,31.267272027303,0.818929812614835
"38","exhaustive_old","AGB","clusterGapped",38,32.024453091624,0.8100538871887
"39","exhaustive_old","AGB","clusterGapped",39,32.105844056928,0.809087154467597
"40","exhaustive_old","AGB","clusterGapped",40,33.8853871003124,0.787337032590597
"41","exhaustive_old","AGB","clusterGapped",41,31.3318782854411,0.818180764020023
"42","exhaustive_old","AGB","clusterGapped",42,30.2638441255522,0.830365122369691
"43","exhaustive_old","AGB","clusterGapped",43,32.3479695960544,0.806196766192739
"44","exhaustive_old","AGB","clusterGapped",44,33.1581862221165,0.796366840571139
"45","exhaustive_old","AGB","clusterGapped",45,30.2942887845043,0.830023653940216
"46","exhaustive_old","AGB","clusterGapped",46,31.6002787174756,0.815052360290406
"47","exhaustive_old","AGB","clusterGapped",47,29.9066991075459,0.834345236224733
"48","exhaustive_old","AGB","clusterGapped",48,31.2761051476512,0.818827492164523
"49","exhaustive_old","AGB","clusterGapped",49,29.6147174146844,0.837564049971149
"50","exhaustive_old","AGB","clusterGapped",50,30.2046718954097,0.831027818165213
"51","exhaustive_old","AGB","clusterGapped",51,29.6879626074799,0.836759560408506
"52","exhaustive_old","AGB","clusterGapped",52,30.4819064729132,0.827911749533305
"53","exhaustive_old","AGB","clusterGapped",53,29.4471798745536,0.839396729359908
"54","exhaustive_old","AGB","clusterGapped",54,36.0890646648454,0.75877727468851
"55","exhaustive_old","AGB","clusterGapped",55,32.1511460795299,0.808548010266698
