"","dsample","diff_CV_AOI_RMSE_rand","diff_CV_AOI_MAE_rand","diff_CV_AOI_R2_rand","diff_CV_AOA_RMSE_rand","diff_CV_AOA_MAE_rand","diff_CV_AOA_R2_rand","diff_calAOA_RMSE_rand","RMSE_caoa_rand","n_predictors_rand","xy_as_predictor_rand","improvement_rmse_rand","improvement_aoa_rand","in_AOA_rand","in_AOA_wo_rand","diff_CV_AOI_RMSE_spat","diff_CV_AOI_MAE_spat","diff_CV_AOI_R2_spat","diff_CV_AOA_RMSE_spat","diff_CV_AOA_MAE_spat","diff_CV_AOA_R2_spat","diff_calAOA_RMSE_spat","RMSE_caoa_spat","n_predictors_spat","xy_as_predictor_spat","improvement_rmse_spat","improvement_aoa_spat","in_AOA_spat","in_AOA_wo_spat","diff_CV_AOI_RMSE_kndm","diff_CV_AOI_MAE_kndm","diff_CV_AOI_R2_kndm","diff_CV_AOA_RMSE_kndm","diff_CV_AOA_MAE_kndm","diff_CV_AOA_R2_kndm","diff_calAOA_RMSE_kndm","RMSE_caoa_kndm","n_predictors_kndm","xy_as_predictor_kndm","improvement_rmse_kndm","improvement_aoa_kndm","in_AOA_kndm","in_AOA_wo_kndm","diff_CV_AOI_RMSE_nndm","diff_CV_AOI_MAE_nndm","diff_CV_AOI_R2_nndm","diff_CV_AOA_RMSE_nndm","diff_CV_AOA_MAE_nndm","diff_CV_AOA_R2_nndm","diff_calAOA_RMSE_nndm","RMSE_caoa_nndm","n_predictors_nndm","xy_as_predictor_nndm","improvement_rmse_nndm","improvement_aoa_nndm","in_AOA_nndm","in_AOA_wo_nndm"
"1","sregular",0.0126476881412261,0.00894642690954739,-0.0332082698144311,0.0142793869889732,0.010141236439037,-0.0313991751002467,-0.00455668573996211,0.0763706563337149,6,"yes",8.45860005927794,-0.501231093914883,98.6916703009158,99.1888355865678,0.0180737689597421,0.0173743483582222,-0.0331226347136978,0.0181700421959327,0.0174748591065947,-0.0325605422919679,-0.0147610022510054,0.0811711145061046,6,"no",-4.49187500202889,0.00436986540815046,99.8037505451374,99.7993894461404,-0.00213739621109707,-0.00312687295534088,0.0276222124044745,-0.00163727066217188,-0.0026201592174465,0.0297539415706237,-0.0178673157749269,0.0815027800948352,4,"no",-13.857513492676,0.330512956107887,99.2891408634976,98.9620584387266,0.00968110766438406,0.00266330874290881,-0.0212237086980382,0.00999646348311782,0.00302195339596327,-0.0195070583391459,-0.0134538403816311,0.072355001357411,9,"yes",-2.99015561993731,0.569762819663436,99.3022241604884,98.7396423898822
"2","wregular",-0.0144344221456379,-0.0113674763318389,0.0227783247334661,0.00157458543913146,-0.00167331824764486,0.0104737680851702,-0.0130421869245318,0.0741113538144347,6,"yes",-10.715851178811,-2.04147465437787,92.7038813781073,94.6358482337549,-0.0124913183160029,0.0024046706642732,0.0107369286678887,-0.00619137389480727,0.00587401189600875,-0.00354161038527201,-0.00873620395986607,0.120475462510703,2,"yes",-33.4219854934841,0.661399147727267,98.8966419537723,98.2468382032272,-0.00647205824806339,-0.00780827902419737,-0.0171802853144447,0.0036753623535862,-0.00179148864938489,-0.0228702878718535,-0.0128268695768602,0.0747353585664373,7,"yes",-4.34607026760275,-0.455207574654047,95.368512865242,95.8046227649368,-0.00683779834217277,-0.00635923082401753,-0.0144212570895325,0.00711709511075341,0.00203749715524444,-0.022297648245321,-0.0073595510945611,0.0740959362692623,9,"yes",-3.20137940796145,-0.560669065084325,92.8172699520279,93.3406018316616
"3","random",-0.00655657375308281,-0.00498715095760301,0.0429533957411786,-0.000936135519311626,-0.00072644539616791,0.0434755929364847,-0.00806183606674649,0.0744812372039873,6,"yes",0.975904800456836,1.09254201194388,95.2333187963367,94.2040994330571,0.0377044750447645,0.0332734083263307,-0.0823680005069506,0.0378702350146673,0.0334326702696621,-0.0816689663241008,-0.00283441649058326,0.0894968962875468,7,"no",-1.74331284750251,0.254151877656551,99.7775839511557,99.5246402093327,-0.0144850427846642,-0.00832139658815914,0.0813074011565215,-0.00962775498602596,-0.00478976377631152,0.0778479119173091,-0.0190165826167122,0.0779188429063932,4,"yes",-13.0608737320356,2.21238938053097,96.7117313563018,94.6184038377671,-9.75695539969512e-05,0.00178465782277103,0.0241525329113974,0.00323774749414926,0.0045079528505118,0.0279991957348422,-0.0061136130655714,0.0763745046058583,7,"yes",3.36299618706025,-0.581551400196832,96.9210641081552,97.4880069777584
"4","wclust",-0.0285389759920379,-0.0272882795328629,0.0814726750551761,-0.0192936950341409,-0.0205101791619465,0.0637562960421254,-0.0134057878125282,0.0774094771921944,7,"yes",-1.24535658000024,-0.173135189727308,90.5233318796337,90.6803314435238,0.017373405546715,0.0148466510516523,-0.116074831815909,0.01746903907195,0.0151878407188406,-0.111219269680595,-0.00792959329167066,0.109815714044154,5,"no",-19.3651811536743,-1.08933414996939,98.6000872219799,99.6860008722198,0.00269869850141609,-0.00117559450722061,-0.0176997741774061,0.00432471726630607,0.000354651747174237,-0.0205997953125691,-0.0156816326561718,0.0782684089498332,10,"no",6.98043777714721,-1.40932458783904,97.0170082860881,98.4038377671173,-0.0162377395275877,-0.0198819392491674,0.0527933004836979,-0.0144360165670731,-0.0177956499129664,0.0535074900583559,-0.0283853780254201,0.07391144674091,8,"yes",-6.06023095403977,0.0457310101980083,95.4077627562146,95.3641517662451
"5","sclust",-0.0590563702345707,-0.0424625755925507,0.138880045193547,-0.0147422420454703,-0.0104737348140365,0.0448375947905691,-0.00269629350394814,0.0780515663400798,6,"no",13.3898020449959,11.1583924349882,61.5176624509376,55.3423462712604,-0.0355783987161327,-0.0246969157513266,0.13457528790891,-0.0206786343908898,-0.0121958723541147,0.121684319465063,-0.0215415270105983,0.122009969542635,4,"no",-7.22051860119689,-6.84702587958991,89.9476668120366,96.5590928914086,-0.0129544846487253,-0.0131899598669688,0.00947432398520276,-0.0107103595430419,-0.0101958342224634,0.0318741642090267,-0.0276589135589773,0.114819141643235,3,"no",8.44311908964457,5.10302330059696,95.2115133013519,90.5887483645879,-0.0327565337440572,-0.0281672199307474,0.092546487772426,-0.0085105400824208,-0.00623162450573571,0.0848970991285654,-0.0185281691889537,0.1001394121901,4,"no",2.51047402604677,-10.8309426745181,77.2655909289141,86.6506759703445
"6","sregular",0.00250123595165232,0.00258915921722362,0.0106496212454247,0.00321080775119829,0.00318423370495004,0.011869106337368,-0.012732792178267,0.0762213892240761,6,"yes",-2.05314156168956,-0.00878734622143692,99.2498909725251,99.258613170519,0.0184194273245076,0.0181686835738943,-0.0469420282278508,0.0190135610093951,0.0186953473598645,-0.0463457208781262,-0.0112780555697004,0.0804664664804383,6,"no",1.30986241877389,-0.555094191179697,99.2237243785434,99.7775839511557,0.00346281045413224,-0.000823389827690868,-0.00562357428052573,0.00451984181166785,-2.68162816260825e-05,-0.00620738503260065,-0.0187094978693925,0.0752956178166414,6,"no",-6.52587280146743,-0.386032637304806,99.0318360226777,99.4156127344091,0.00234064635307786,-0.00285321948701404,-0.000334491934303349,0.00317113955357598,-0.00209847842805602,0.00159371720926926,-0.0214836447868569,0.0675721475224611,11,"yes",2.67393382249092,-0.395291637385802,98.9010030527693,99.2935019624945
"7","wregular",-0.0283059609535228,-0.0114978453590219,0.0673727200405351,-0.0214250609231848,-0.00728239555613351,0.0525251505061367,-0.0310102831649299,0.0706714385004026,6,"no",-3.28458459652155,6.02069163712998,96.5329262974269,91.0510248582643,-0.0128498530395186,-0.000520430072540767,0.0135977338514804,-0.0114036839958816,0.000667413885777332,0.0149059263443713,-0.0276414175215305,0.0996786983135705,3,"no",-24.9613932973016,1.56256975757846,99.2106410815526,97.684256432621,-0.0361106470007141,-0.0173839757510261,0.117018736863091,-0.0306043062638513,-0.0137089593526253,0.11710995756449,-0.0414899810958488,0.0774317546839452,3,"no",-20.8480387591125,4.72334682860997,94.7579590056694,90.4840819886611,-0.0275088451684351,-0.0144084700360085,0.0774283787109049,-0.0262684248675829,-0.0123819638302753,0.0967092653614127,-0.0360120930817921,0.0905262809247007,2,"no",-23.0278519248418,4.46678363127697,96.0793720017444,91.9712167466201
"8","random",-0.0410620492226322,-0.0237721734510758,0.152470868649365,-0.0350096874820399,-0.0187888299493196,0.166527520945167,-0.038344559817716,0.0828034285052277,2,"yes",-22.5310386563275,1.61963987377019,95.4949847361535,93.9729611862189,0.00147171828698335,0.00137271129793144,0.00538862919621286,0.00725592779962037,0.00471269064854457,-0.00534825143835549,-0.0100116507989796,0.0944682640771183,4,"no",-5.56106115675563,1.37363878722155,97.8412559965111,96.5154819014392,-0.0298391265597778,-0.0134887574790622,0.114222350469033,-0.0250957335578272,-0.00933024900947081,0.131262379936481,-0.033000009259621,0.0884040187771339,2,"yes",-17.6125095303649,1.26681407775934,95.870039249891,94.6707370257305,-0.0110172005477126,-0.0079899700120882,0.0228550487876952,-0.00324832472299796,-0.00244747157269726,0.0219393047406119,-0.00442185932493795,0.0808582700511414,6,"yes",2.38770935463163,-1.36630687252357,94.4483209768862,95.7566506759703
"9","wclust",-0.0425802972564731,-0.0312768923552474,0.0815229812873804,-0.0141753239306319,-0.0131804780863836,0.0106947326097144,-0.020016418741755,0.0731914778964069,4,"yes",10.1713020915458,22.5165562913907,83.1007413868295,67.8281726995203,-0.0190099359811273,-0.00629390384464625,-0.0315698939380359,-0.00570278165778229,0.00208199604046143,-0.0875513507939589,-0.0363668839885288,0.0923932651354615,3,"no",-16.3513494565512,-0.00473014521546356,92.1936327954645,92.1979938944614,-0.00188190161354961,2.90808249193558e-05,-0.102255134728169,0.00792858848802515,0.00662257789087889,-0.122761143573573,-0.00736576847916985,0.100698460316932,3,"no",8.59927498851262,4.58641695614962,90.5974705625818,86.6245093763629,-0.0121714784530218,-0.00963166291410623,-0.0266585341352739,-0.00163757102613891,-0.00104453218719709,-0.0360626991310186,-0.0227110756816754,0.0817581739558656,2,"no",2.97098616522725,-3.00108286495126,82.0366332315744,84.5747928477976
"10","sclust",-0.157130088722821,-0.103847219920686,0.659567506384489,-0.0284246117677106,-0.0227278393518423,0.121498926998765,-0.0152905855388991,0.0700117784672991,4,"yes",-0.607749369560368,9.28536305523683,58.1552551242913,53.2141299607501,-0.101029533500531,-0.0692295540238082,0.294859864159071,-0.086161320529846,-0.0568860144182589,0.300764882655753,-0.100943134005896,0.0743354896941424,3,"no",11.9429449739684,8.11557788944724,93.8290449193197,86.7858700392499,-0.106878876427197,-0.0741086155648837,0.33055092582782,-0.0891115975453336,-0.0592880160800876,0.329928405048146,-0.0990562303785318,0.0727478344090164,3,"no",13.0077744002944,11.2903225806452,91.7793283907545,82.4683820322721,-0.108129883659154,-0.0789110649657335,0.343648603103392,-0.0872724095879655,-0.062210954823988,0.327435906225102,-0.104662224153281,0.0655444962815765,3,"no",11.6402687446357,14.3191848744074,91.5002180549498,80.0392498909725
