dsample,RMSE_rand,MAE_rand,R2_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_nndm,MAE_nndm,R2_nndm,time_kndm_mod,time_nndm_mod,time_kndm_alg,time_nndm_alg
sregular,0.10235391337486409,0.07973547167483434,0.822938274291937,0.08240317910820777,0.06343256853041862,0.9035851930871132,0.1389115210740203,0.11105632051121654,0.6324146122866848,0.10263292169066772,0.08238814243358612,0.8201131309263957,0.10038353532187891,0.07899496106694302,0.8310412067210909,0.15200000000004366,0.5420000000001437,0.009000000000014552,0.04899999999997817
wregular,0.0861428518546019,0.06772846673935554,0.8964993795555253,0.08330109341627331,0.06457804864344356,0.8967770564950424,0.15634131144214541,0.11859901746334171,0.5855450122269023,0.09379355025661787,0.07389438738531923,0.8783451435724811,0.08803315530795167,0.0703985739603528,0.8971386382679621,0.17200000000002547,0.5399999999999636,0.007000000000061846,0.04800000000000182
random,0.09202577332018042,0.06582841946627944,0.8104614574911461,0.10469661492875001,0.07967109563551035,0.8361702579518064,0.11930943772693571,0.09280103247772901,0.6599081931079452,0.09630687640973094,0.06809478593200444,0.7906215225676861,0.09595715608254521,0.06793771934727827,0.7946026467316116,0.15399999999999636,0.5329999999999018,0.0060000000000854925,0.04899999999997817
wclust,0.0745561117216621,0.05704934534760814,0.9120414145638323,0.0918415578303115,0.07143529123165698,0.8746452253996114,0.15004443044496793,0.1094708177093044,0.582047403428359,0.08805035547726969,0.06601277907408773,0.8746234283657047,0.10722608933637275,0.0773003607476751,0.7886260552964508,0.15300000000002,0.5080000000000382,0.2860000000000582,0.06799999999998363
sclust,0.07287604748618001,0.05013819011298318,0.9248691358716665,0.11531653388398477,0.08396492587815609,0.7948531124020343,0.2076719102921009,0.18187386095181107,0.3991877849428811,0.1721762967116635,0.12648152923981348,0.5294820309562402,0.14485755275028953,0.11081286505803466,0.675010372782938,0.14999999999986358,0.48700000000008004,0.2880000000000109,0.20000000000004547
sregular,0.09983111580949823,0.08065029479537633,0.8548597243508459,0.08504717746251753,0.06573916090842948,0.8947576270159575,0.1603052867719258,0.12583849054555007,0.5388494229491281,0.10449412893770464,0.08353908891058477,0.8352318122409743,0.09956375421823306,0.08043258907626458,0.8544535010157333,0.14299999999980173,0.4819999999999709,0.004999999999881766,0.044999999999845386
wregular,0.09714054085759061,0.07439983104462249,0.8452580731431123,0.09133349919858967,0.06866186067415991,0.8756767071874589,0.13369804042770148,0.10202419480492018,0.6897476035897551,0.09909721007407503,0.07644845982559138,0.848665616730351,0.09728949652408722,0.07414810945796668,0.8458294973940439,0.1449999999999818,0.5060000000000855,0.005999999999858119,0.04300000000012005
random,0.09634008508016993,0.07051840329284159,0.8608217953793856,0.09118848534304619,0.06820745319019245,0.8616785693137359,0.15273450742504616,0.12722027133963226,0.6244181468221982,0.1094933874717995,0.08095453083940238,0.8047321320889038,0.10016446268003597,0.07355711489043354,0.8423864724855249,0.14799999999991087,0.49699999999984357,0.0060000000000854925,0.04299999999989268
wclust,0.08374082313586749,0.06328202674673249,0.884684801385058,0.10193754914780512,0.07477791146651071,0.8179292621275123,0.17056477734106254,0.12503552832941212,0.4532239986574718,0.1279647677918702,0.09278097753963743,0.7144443754853974,0.09755906538916574,0.07232543218669171,0.8356311378678024,0.14699999999993452,0.49299999999993815,0.2749999999998636,0.08100000000013097
sclust,0.07147754424604288,0.05155488817149154,0.8921976898029226,0.13216795126305586,0.09417462952958727,0.7729819097433452,0.14104171537454824,0.1056192164113621,0.5382477272340715,0.1509497121033003,0.11605362638787678,0.48226537985451573,0.1282388886784697,0.08957149071767927,0.6219362341366494,0.14400000000000546,0.47299999999995634,0.2769999999998163,0.18200000000001637
sregular,0.09888183729666392,0.0747966866628391,0.8236079937544748,0.08916013657643007,0.06741839970009648,0.8913385031184402,0.1312868465169883,0.1032030127488325,0.6542864626550843,0.099704598123318,0.07824565728280074,0.8157117548837202,0.09736877500772104,0.07516927008601526,0.8326818764592198,0.14799999999991087,0.5149999999998727,0.0060000000000854925,0.04300000000012005
wregular,0.09789697122694371,0.07315060974081668,0.8386177222318543,0.0867449423177095,0.06650620162154136,0.8858349913694941,0.1400967879170847,0.11212242154370682,0.6133391714739911,0.09337571629274125,0.070445158203699,0.854862726493698,0.09777093617027698,0.07458162595773425,0.8397636419259518,0.14599999999995816,0.5070000000000618,0.005000000000109139,0.05899999999996908
random,0.08877960142449624,0.06757393496809526,0.8267096157243968,0.10119360432512385,0.07468097360198002,0.8577088403534102,0.12155697233814551,0.09233034717878949,0.6281088345558858,0.08424182577232046,0.06515123885658261,0.8503505732738428,0.08586239794779148,0.06602805829750995,0.8393738563947817,0.14600000000018554,0.5199999999999818,0.0060000000000854925,0.04399999999986903
wclust,0.09661765016504299,0.06684466734743678,0.8423847259748132,0.09773219423489722,0.06998692580428355,0.8545491236253332,0.17404055418591102,0.13491335896626425,0.4104110063655354,0.10582311223234794,0.07563987855214624,0.8098959411630458,0.10508520517016544,0.07536753378883004,0.8230650924027124,0.17499999999995453,0.5230000000001382,0.28700000000003456,0.06899999999995998
sclust,0.07778398832697275,0.056333711429499105,0.9064823358609488,0.10972962588262311,0.08418016128467005,0.7808595753681216,0.1521698233300612,0.11753965671276363,0.6069266569298502,0.162243859089607,0.13018085717146288,0.5596538726581552,0.16002497142350303,0.11508083641112161,0.5284200176775917,0.14699999999993452,0.4459999999999127,0.2740000000001146,0.2580000000000382
sregular,0.10053282866696425,0.07500977310730829,0.8080472853840859,0.08941136434411509,0.06739851269738946,0.893737609196465,0.1316860807801754,0.10105888886056114,0.6263925352543558,0.10623390073124052,0.07814044549043984,0.7882572041442767,0.09434013347506805,0.07104283908393347,0.8294062519272464,0.1449999999999818,0.5140000000001237,0.0060000000000854925,0.04300000000012005
wregular,0.09472097675579197,0.07356473259748306,0.841221992958485,0.08903701935294522,0.06803913556026589,0.8838673936922992,0.13279087251458724,0.10786661768199339,0.6565885858698745,0.09608621958724098,0.07503605700907585,0.8339143213786131,0.09916358181585212,0.07446953094760478,0.8224941358955534,0.15300000000002,0.5389999999999873,0.007000000000061846,0.04299999999989268
random,0.08161683577033696,0.06445306830395012,0.9119088248033567,0.07882585476737461,0.060160038015927585,0.9173889835129821,0.18937903041283125,0.13810009022792802,0.2967672267515743,0.08804925447454597,0.06922695822306288,0.8976839214933909,0.0874247448671416,0.06860596063601786,0.8880423577655873,0.14799999999991087,0.5729999999998654,0.005999999999858119,0.049999999999954525
wclust,0.08966027089582941,0.06543789007999935,0.873651990524465,0.08836259932108763,0.06658542142569705,0.8877847074444175,0.17074664996405348,0.13426999633213196,0.546794454304745,0.1357203498139667,0.1014762385684438,0.7227713923070936,0.10809334142822616,0.07980511035196483,0.8071424225041984,0.16599999999993997,0.6569999999999254,0.27800000000002,0.0649999999998272
sclust,0.08367636464293123,0.046907315464044606,0.8653786335677492,0.20928451391660327,0.12871612931410073,0.3466723789241928,0.21372102353982253,0.15774163604474314,0.12710234628992775,0.19837634403026297,0.14140528343372044,0.20227849095055975,0.15609376840330838,0.1015950246948314,0.5183450889458328,0.22800000000006548,0.47199999999998,0.27800000000002,0.1750000000001819
sregular,0.09623742311288808,0.07054731644314607,0.8513495706975007,0.08914454866812214,0.07006694780309207,0.8841418090126941,0.12373680143565487,0.0943147382866215,0.7378687919577016,0.09415490884912198,0.07111499260920132,0.8558398020547462,0.09550263845091926,0.07273369682647886,0.8467355077757747,0.15000000000009095,0.5019999999999527,0.0060000000000854925,0.041999999999916326
wregular,0.10012893860841118,0.07342501560163309,0.8111335846772031,0.09417561929783955,0.07094930165838623,0.8841181688211197,0.1282734617503189,0.10005427389464712,0.6587193704954144,0.09970065330079964,0.07358897418595525,0.8170088965550146,0.10477064136783519,0.0782355021802911,0.787621269606265,0.14799999999991087,0.5459999999998217,0.0060000000000854925,0.04399999999986903
random,0.09690378956444039,0.07262470995481903,0.8369933466318364,0.09056832027814918,0.06757335659028998,0.8859138718510625,0.13929018506350543,0.11140346710153234,0.6396579746911817,0.10490266598075569,0.07868675498988635,0.8131286724367441,0.09478698405644823,0.0723823832471886,0.8463543050299918,0.16599999999993997,0.5489999999999782,0.0060000000000854925,0.041999999999916326
wclust,0.08475763339646004,0.06166499276197204,0.8220272836770625,0.12196908534353806,0.08783275895652093,0.7440027024600309,0.1584687978184394,0.12741561695937068,0.3997568000428998,0.08941801715478999,0.06781579062489171,0.8120844344922988,0.09821920499240196,0.07326660966508092,0.7571929675533567,0.15999999999985448,0.4959999999998672,0.2740000000001146,0.09399999999982356
sclust,0.07806745136581539,0.056551684917906915,0.9113567202636746,0.12305173405819153,0.09445707313773447,0.7422428696839228,0.1680338550857041,0.1405223157647749,0.616004618299668,0.1305259014872727,0.11057091793635239,0.7694236418624727,0.13810878227973902,0.10850534035524972,0.7201953818256094,0.14699999999993452,0.4679999999998472,0.2769999999998163,0.49099999999998545
sregular,0.09700648750826318,0.07527763621619454,0.8525012936676426,0.08826827981233161,0.06678510677945874,0.8944280752300345,0.12500577226475587,0.09657719005926382,0.7290260540416594,0.10729692422904315,0.08254488856319389,0.799973388971065,0.09577992690625517,0.0752416039092195,0.8505122408679943,0.14599999999995816,0.5130000000001473,0.0060000000000854925,0.0420000000001437
wregular,0.0880035033937415,0.065163867849735,0.8715107052018398,0.0836576218393453,0.0643634510999723,0.9056646053465909,0.13461453288884714,0.10757010409606403,0.6866418373856014,0.09843532316233117,0.07303027158917354,0.8357349479134369,0.09007098824943333,0.06798916508172896,0.8642980594594818,0.1430000000000291,0.48299999999994725,0.0060000000000854925,0.0420000000001437
random,0.09471540578557829,0.06700675889943417,0.8282102323951533,0.09724531946905414,0.07189087894106232,0.859962073889883,0.11720944259389791,0.0930740113433388,0.7474664666690441,0.10182894349179852,0.06965893770297368,0.7994711375835549,0.09357626250036047,0.06607419515951225,0.8350521043770638,0.14400000000000546,0.5060000000000855,0.0060000000000854925,0.04299999999989268
wclust,0.09034060464732951,0.06771105991045014,0.8754494244231796,0.11505991239893182,0.08632584891883686,0.7979106130875481,0.1405368881489419,0.1142591480259442,0.6335143819795623,0.13418727207720874,0.09763261866801419,0.6986978245770429,0.1247427947444384,0.09022909970405513,0.7319429473765504,0.14800000000013824,0.49900000000002365,0.2719999999999345,0.1150000000000091
sclust,0.05537619804160348,0.039706620793336374,0.9278898148759841,0.17068619359578374,0.1236758616405502,0.5268016652487204,0.2014714584207202,0.11644966366905095,0.05738947951309804,0.13068685683771677,0.08625458927483608,0.5857201395354721,0.15932710235327524,0.10223887578883518,0.2858275340852439,0.14199999999982538,0.4420000000000073,0.27299999999991087,0.44299999999998363
sregular,0.09700108026628507,0.0747238811065483,0.8677215259484368,0.08562280493925607,0.0661063467414911,0.8855498837132598,0.1289610680925235,0.10426314725933372,0.7917351071210242,0.10619793694492459,0.08188710249229188,0.8280627399809423,0.09544722232443618,0.0739779330641052,0.8769406501587832,0.14800000000013824,0.5139999999998963,0.005999999999858119,0.041999999999916326
wregular,0.09594175277240782,0.0710834806026625,0.7790922027302402,0.10921581005429909,0.08402552736839446,0.8447134574417439,0.12958004871342171,0.09879663306572252,0.5540333609143783,0.09643334893693317,0.07111188028709722,0.7829563523404988,0.09950394446422703,0.07225886078462715,0.7599322116232535,0.14400000000000546,0.5150000000001,0.0060000000000854925,0.044000000000096406
random,0.07789267765902973,0.058547083300670114,0.9023591100788162,0.0889410792058672,0.06680372481658234,0.8764411192006815,0.17901786396267153,0.1221002841975179,0.34460559489219345,0.08627417758355907,0.0642208885366143,0.8823681555670576,0.07699020912557825,0.059703187994209705,0.9080936609409673,0.1449999999999818,0.5270000000000437,0.006999999999834472,0.06400000000007822
wclust,0.08567429573952402,0.06262185467916229,0.8806011628009776,0.10337959652184153,0.08043041878268563,0.8400760798132211,0.18433778462380312,0.13004482692039884,0.3599627371321472,0.12099127116924037,0.08952202356522279,0.7555196570804565,0.11838540015121668,0.0806693129057375,0.7455459504307549,0.14600000000018554,0.5190000000000055,0.375,0.1069999999999709
sclust,0.07567704304663146,0.052684436703060424,0.9027071714423919,0.1224279268243703,0.08959898786057616,0.7436605988508975,0.1507267649660964,0.11577015730827116,0.640308056956595,0.12168238601209012,0.09383745005624987,0.7842405167640115,0.10390802295737715,0.07640470906525229,0.8240973399292374,0.1510000000000673,0.49900000000002365,0.3589999999999236,0.17000000000007276
sregular,0.10048770966277401,0.07707394026616207,0.8351153771286574,0.08216013146359707,0.06445826141719103,0.9091175721989774,0.1318252633120771,0.1023262619239777,0.7030160473482326,0.10416454037981947,0.08259395401635418,0.8357634127950866,0.09770416197264989,0.07483409776580631,0.844743436805121,0.17200000000002547,0.5570000000000164,0.005999999999858119,0.04600000000004911
